"pid","wdpa_pid","name","country_de","country_en","region","type","area_sqkm","mab","world_heritage","ramsar","ecosystem","pa_def","desig_eng","desig_type","iucn_cat","int_crit","marine","rep_m_area","gis_m_area","rep_area","gis_area","iso3","uid"
2611,"68","Parque Nacional Monte Pascoal","Brasilien","Brazil","Lateinamerika","National Park",223.3,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0.52,1.43908315367,222.396,223.643170547,"BRA",NA
2618,"198352","Parque Nacional do Descobrimento","Brasilien","Brazil","Lateinamerika","National Park",226.9,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,226.941,228.208387517,"BRA",NA
2676,"555511939","Serrania de los Yarguies ","Kolumbien","Colombia","Lateinamerika","National Park",590.63,NA,NA,NA,"Wald",1,"Natural National Park","National","II","Not Applicable",0,0,0,590.63,600.834032278,"COL",NA
2566,"18839","Lancetilla","Honduras","Honduras","Lateinamerika","National Park",19.6,NA,NA,NA,"Wald",1,"Botanical Garden","National","IV","Not Applicable",0,0,0,19.6249607063,19.752479726,"HND",NA
2524,"555629313","Cerro Mampil","Guatemala","Guatemala","Lateinamerika","National Park",0.1,NA,NA,NA,"Wald",1,"Regional Municipal Park","National","IV","Not Applicable",0,0,0,0.100803493113,0.100803493113,"GTM",NA
2525,"555556016","La Primavera","Kolumbien","Colombia","Lateinamerika","National Park",0.9,NA,NA,NA,"Wald",1,"Reserve Natural Civil Society","National","VI","Not Applicable",0,0,0,0.2060000038,0.130864657674,"COL",NA
2526,"555600297","Reserva Particular do Patrimônio Natural Rio Jardim","Brasilien","Brazil","Lateinamerika","National Park",0.1,NA,NA,NA,"Wald",1,"Natural Heritage Private Reserve","National","IV","Not Applicable",0,0,0,0.069516,0.0699106454531,"BRA",NA
2527,"555600202","Reserva Particular do Patrimônio Natural Carroula","Brasilien","Brazil","Lateinamerika","National Park",0.15,NA,NA,NA,"Wald",1,"Natural Heritage Private Reserve","National","IV","Not Applicable",2,0,0.147415632382,0.146594,0.147415632382,"BRA",NA
2528,"478454","PNM de Petrópolis","Brasilien","Brazil","Lateinamerika","National Park",0.2,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,0.165216,0.166005082045,"BRA",NA
2529,"555629305","Los Regadíos","Guatemala","Guatemala","Lateinamerika","National Park",0.3,NA,NA,NA,"Wald",1,"Regional Municipal Park","National","IV","Not Applicable",0,0,0,0.301532296603,0.301532296603,"GTM",NA
