wdpa_id,year,active_fire_counts
342465,2000,7
342465,2001,43
342465,2002,272
342465,2003,460
342465,2004,741
342465,2005,347
342465,2006,322
342465,2007,458
342465,2008,470
342465,2009,68
342465,2010,1634
342465,2011,354
342465,2012,90
342465,2013,136
342465,2014,93
342465,2015,78
342465,2016,168
342465,2017,99
342465,2018,305
342465,2019,488
342465,2020,145
342465,2021,162
555592600,2000,3
555592600,2001,69
555592600,2002,48
555592600,2003,13
555592600,2004,7
555592600,2005,26
555592600,2006,27
555592600,2007,42
555592600,2008,6
555592600,2009,11
555592600,2010,82
555592600,2011,59
555592600,2013,3
555592600,2014,3
555592600,2015,2
555592600,2016,6
555592600,2017,5
555592600,2018,20
555592600,2019,81
555592600,2020,56
555592600,2021,72
30,2000,15
30,2001,255
30,2002,552
30,2003,823
30,2004,1544
30,2005,791
30,2006,560
30,2007,900
30,2008,621
30,2009,200
30,2010,1608
30,2011,1222
30,2012,712
30,2013,274
30,2014,318
30,2015,447
30,2016,995
30,2017,805
30,2018,850
30,2019,960
30,2020,785
30,2021,655
303894,2001,2
303894,2002,55
303894,2003,25
303894,2004,21
303894,2005,93
303894,2006,74
303894,2007,77
303894,2008,26
303894,2009,87
303894,2010,88
303894,2011,20
303894,2012,61
303894,2013,45
303894,2014,75
303894,2015,56
303894,2016,86
303894,2017,67
303894,2018,45
303894,2019,80
303894,2020,155
303894,2021,43
342483,2001,1
342483,2002,15
342483,2003,15
342483,2004,184
342483,2005,204
342483,2006,104
342483,2007,521
342483,2008,77
342483,2009,17
342483,2010,2251
342483,2011,613
342483,2012,63
342483,2013,40
342483,2014,145
342483,2015,108
342483,2016,96
342483,2017,62
342483,2018,8
342483,2019,171
342483,2020,1547
342483,2021,1007
555592668,2001,112
555592668,2002,221
555592668,2003,23
555592668,2004,99
555592668,2005,98
555592668,2006,162
555592668,2007,519
555592668,2008,130
555592668,2009,34
555592668,2010,354
555592668,2011,24
555592668,2012,29
555592668,2013,26
555592668,2014,7
555592668,2015,15
555592668,2016,110
555592668,2017,43
555592668,2018,57
555592668,2019,343
555592668,2020,25
555592668,2021,88
342464,2002,25
342464,2003,3
342464,2004,66
342464,2005,228
342464,2006,28
342464,2007,11
342464,2008,23
342464,2009,2
342464,2010,86
342464,2011,17
342464,2012,7
342464,2013,6
342464,2014,11
342464,2015,1
342464,2016,15
342464,2017,33
342464,2018,8
342464,2019,48
342464,2020,24
342464,2021,29
555592673,2001,2
555592673,2002,14
555592673,2003,6
555592673,2004,1
555592673,2005,1
555592673,2006,3
555592673,2008,29
555592673,2010,40
555592673,2011,8
555592673,2012,2
555592673,2013,4
555592673,2014,45
555592673,2016,4
555592673,2018,7
555592673,2019,2
555592673,2020,27
555592673,2021,1
555592685,2000,1
555592685,2001,168
555592685,2002,1144
555592685,2003,752
