wdpa_id,active_fire_counts
30,15892
31,6724
35,1214
2037,738
9308,1722
9779,339
20037,2906
98183,1062
303883,14617
303884,261
303885,2665
303887,2423
303891,61110
303894,1281
342464,671
342465,6940
342466,8613
342481,4561
342482,1703
342483,7249
342484,1586
342490,862
342494,150
342495,73
342496,47
342497,4
555592593,772
555592600,641
555592608,13917
555592639,96
555592641,311
555592646,302
555592656,377
555592663,3693
555592664,211
555592668,2519
555592669,191
555592671,541
555592673,196
555592677,738
555592678,12071
555592685,22797
