"","Name","Year","dissolved","min_cover","Treecover"
"1","Barras de Cuero y Salado",2017,FALSE,10,3299.60458404994
"2","Capiro y Calentura",2017,FALSE,10,3631.98433690667
"3","Cuyamel",2017,FALSE,10,966.184313318473
"4","Islas de la Bahia",2017,FALSE,10,439.797775502286
"5","Omoa",2017,FALSE,10,7967.68951685266
"6","Pico Bonito",2017,FALSE,10,52934.7092552583
"7","Texiguat",2017,FALSE,10,11838.4386236282
"8","Barras de Cuero y Salado",2018,FALSE,10,3277.96335811085
"9","Capiro y Calentura",2018,FALSE,10,3625.9844721131
"10","Cuyamel",2018,FALSE,10,962.69994576782
"11","Islas de la Bahia",2018,FALSE,10,438.83740114595
"12","Omoa",2018,FALSE,10,7928.08824850796
"13","Pico Bonito",2018,FALSE,10,52884.4061552448
"14","Texiguat",2018,FALSE,10,11681.3251453744
"15","Barras de Cuero y Salado",2019,FALSE,10,3256.02590198254
"16","Capiro y Calentura",2019,FALSE,10,3625.02159501188
"17","Cuyamel",2019,FALSE,10,960.77233669535
"18","Islas de la Bahia",2019,FALSE,10,438.024857075738
"19","Omoa",2019,FALSE,10,7885.22606327898
"20","Pico Bonito",2019,FALSE,10,52824.6876922513
"21","Texiguat",2019,FALSE,10,11542.322511062
"22","Barras de Cuero y Salado",2020,FALSE,10,3242.01865914993
"23","Capiro y Calentura",2020,FALSE,10,3616.94785361316
"24","Cuyamel",2020,FALSE,10,946.908489111442
"25","Islas de la Bahia",2020,FALSE,10,437.87713944737
"26","Omoa",2020,FALSE,10,7823.38037541152
"27","Pico Bonito",2020,FALSE,10,52668.4834934684
"28","Texiguat",2020,FALSE,10,11275.3710478165
"29","Barras de Cuero y Salado",2021,FALSE,10,3236.60832364906
"30","Capiro y Calentura",2021,FALSE,10,3611.24475521748
"31","Cuyamel",2021,FALSE,10,939.123448047293
"32","Islas de la Bahia",2021,FALSE,10,437.803264097794
"33","Omoa",2021,FALSE,10,7752.18833146761
"34","Pico Bonito",2021,FALSE,10,52410.0633362421
"35","Texiguat",2021,FALSE,10,11036.6208452131
"36","Barras de Cuero y Salado",2017,TRUE,10,3299.60458404994
"37","Capiro y Calentura",2017,TRUE,10,3631.98433690667
"38","Cuyamel",2017,TRUE,10,966.184313318473
"39","Islas de la Bahia",2017,TRUE,10,439.797775502286
"40","Omoa",2017,TRUE,10,7952.04375817108
"41","Pico Bonito",2017,TRUE,10,52934.7092552583
"42","Texiguat",2017,TRUE,10,11838.4386236282
"43","Barras de Cuero y Salado",2018,TRUE,10,3277.96335811085
"44","Capiro y Calentura",2018,TRUE,10,3625.9844721131
"45","Cuyamel",2018,TRUE,10,962.69994576782
"46","Islas de la Bahia",2018,TRUE,10,438.83740114595
"47","Omoa",2018,TRUE,10,7912.4424898264
"48","Pico Bonito",2018,TRUE,10,52884.4061552448
"49","Texiguat",2018,TRUE,10,11681.3251453744
"50","Barras de Cuero y Salado",2019,TRUE,10,3256.02590198254
"51","Capiro y Calentura",2019,TRUE,10,3625.02159501188
"52","Cuyamel",2019,TRUE,10,960.77233669535
"53","Islas de la Bahia",2019,TRUE,10,438.024857075738
"54","Omoa",2019,TRUE,10,7869.65445625747
"55","Pico Bonito",2019,TRUE,10,52824.6876922513
"56","Texiguat",2019,TRUE,10,11542.322511062
"57","Barras de Cuero y Salado",2020,TRUE,10,3242.01865914993
"58","Capiro y Calentura",2020,TRUE,10,3616.94785361316
"59","Cuyamel",2020,TRUE,10,946.908489111442
"60","Islas de la Bahia",2020,TRUE,10,437.87713944737
"61","Omoa",2020,TRUE,10,7807.80876839005
"62","Pico Bonito",2020,TRUE,10,52668.4834934684
"63","Texiguat",2020,TRUE,10,11275.3710478165
"64","Barras de Cuero y Salado",2021,TRUE,10,3236.60832364906
"65","Capiro y Calentura",2021,TRUE,10,3611.24475521748
"66","Cuyamel",2021,TRUE,10,939.123448047293
"67","Islas de la Bahia",2021,TRUE,10,437.803264097794
"68","Omoa",2021,TRUE,10,7736.61672444615
"69","Pico Bonito",2021,TRUE,10,52410.0633362421
"70","Texiguat",2021,TRUE,10,11036.6208452131
"71","Barras de Cuero y Salado",2017,FALSE,30,3295.30582713086
"72","Capiro y Calentura",2017,FALSE,30,3631.61397049335
"73","Cuyamel",2017,FALSE,30,942.904875824887
"74","Islas de la Bahia",2017,FALSE,30,408.177330189164
"75","Omoa",2017,FALSE,30,7932.09408760833
"76","Pico Bonito",2017,FALSE,30,52828.2069533456
"77","Texiguat",2017,FALSE,30,11832.2790427238
"78","Barras de Cuero y Salado",2018,FALSE,30,3273.81283615516
"79","Capiro y Calentura",2018,FALSE,30,3625.61410569978
"80","Cuyamel",2018,FALSE,30,939.420508274227
"81","Islas de la Bahia",2018,FALSE,30,407.216955832828
"82","Omoa",2018,FALSE,30,7892.78945376739
"83","Pico Bonito",2018,FALSE,30,52777.9038533312
"84","Texiguat",2018,FALSE,30,11675.16556447
"85","Barras de Cuero y Salado",2019,FALSE,30,3251.9494977309
"86","Capiro y Calentura",2019,FALSE,30,3624.65122859857
"87","Cuyamel",2019,FALSE,30,937.641180756219
"88","Islas de la Bahia",2019,FALSE,30,406.404411762616
"89","Omoa",2019,FALSE,30,7850.96549039491
"90","Pico Bonito",2019,FALSE,30,52718.6302915816
"91","Texiguat",2019,FALSE,30,11536.1629301576
"92","Barras de Cuero y Salado",2020,FALSE,30,3238.09048772734
"93","Capiro y Calentura",2020,FALSE,30,3616.57748719985
"94","Cuyamel",2020,FALSE,30,924.370424559642
"95","Islas de la Bahia",2020,FALSE,30,406.256694134248
"96","Omoa",2020,FALSE,30,7789.787140848
"97","Pico Bonito",2020,FALSE,30,52563.167623462
"98","Texiguat",2020,FALSE,30,11269.2856866605
"99","Barras de Cuero y Salado",2021,FALSE,30,3232.75427037511
"100","Capiro y Calentura",2021,FALSE,30,3610.87438880417
"101","Cuyamel",2021,FALSE,30,916.733665049957
"102","Islas de la Bahia",2021,FALSE,30,406.256694134248
"103","Omoa",2021,FALSE,30,7719.41077919395
"104","Pico Bonito",2021,FALSE,30,52306.156793663
"105","Texiguat",2021,FALSE,30,11030.6839226806
"106","Barras de Cuero y Salado",2017,TRUE,30,3295.30582713086
"107","Capiro y Calentura",2017,TRUE,30,3631.61397049335
"108","Cuyamel",2017,TRUE,30,942.904875824887
"109","Islas de la Bahia",2017,TRUE,30,408.177330189164
"110","Omoa",2017,TRUE,30,7916.52248155903
"111","Pico Bonito",2017,TRUE,30,52828.2069533456
"112","Texiguat",2017,TRUE,30,11832.2790427238
"113","Barras de Cuero y Salado",2018,TRUE,30,3273.81283615516
"114","Capiro y Calentura",2018,TRUE,30,3625.61410569978
"115","Cuyamel",2018,TRUE,30,939.420508274227
"116","Islas de la Bahia",2018,TRUE,30,407.216955832828
"117","Omoa",2018,TRUE,30,7877.21784771811
"118","Pico Bonito",2018,TRUE,30,52777.9038533312
"119","Texiguat",2018,TRUE,30,11675.16556447
"120","Barras de Cuero y Salado",2019,TRUE,30,3251.9494977309
"121","Capiro y Calentura",2019,TRUE,30,3624.65122859857
"122","Cuyamel",2019,TRUE,30,937.641180756219
"123","Islas de la Bahia",2019,TRUE,30,406.404411762616
"124","Omoa",2019,TRUE,30,7835.46803600567
"125","Pico Bonito",2019,TRUE,30,52718.6302915816
"126","Texiguat",2019,TRUE,30,11536.1629301576
"127","Barras de Cuero y Salado",2020,TRUE,30,3238.09048772734
"128","Capiro y Calentura",2020,TRUE,30,3616.57748719985
"129","Cuyamel",2020,TRUE,30,924.370424559642
"130","Islas de la Bahia",2020,TRUE,30,406.256694134248
"131","Omoa",2020,TRUE,30,7774.28968645877
"132","Pico Bonito",2020,TRUE,30,52563.167623462
"133","Texiguat",2020,TRUE,30,11269.2856866605
"134","Barras de Cuero y Salado",2021,TRUE,30,3232.75427037511
"135","Capiro y Calentura",2021,TRUE,30,3610.87438880417
"136","Cuyamel",2021,TRUE,30,916.733665049957
"137","Islas de la Bahia",2021,TRUE,30,406.256694134248
"138","Omoa",2021,TRUE,30,7703.91332480467
"139","Pico Bonito",2021,TRUE,30,52306.156793663
"140","Texiguat",2021,TRUE,30,11030.6839226806
