wdpa_id,landcover_class,date,landcover_area_ha
12226,bare_vegetation,2015-01-01,60
197,built_up,2015-01-01,50
227,built_up,2015-01-01,50
3305,built_up,2015-01-01,150
3306,built_up,2015-01-01,50
3307,built_up,2015-01-01,50
3314,built_up,2015-01-01,50
12226,built_up,2015-01-01,50
12229,built_up,2015-01-01,50
12570,built_up,2015-01-01,50
12572,built_up,2015-01-01,50
20224,built_up,2015-01-01,50
20230,built_up,2015-01-01,50
28850,built_up,2015-01-01,50
30604,built_up,2015-01-01,50
30605,built_up,2015-01-01,50
30606,built_up,2015-01-01,50
30614,built_up,2015-01-01,100
30618,built_up,2015-01-01,200
67670,built_up,2015-01-01,50
102910,built_up,2015-01-01,50
107569,built_up,2015-01-01,50
115079,built_up,2015-01-01,50
116297,built_up,2015-01-01,50
220034,built_up,2015-01-01,50
301932,built_up,2015-01-01,50
302086,built_up,2015-01-01,50
306780,built_up,2015-01-01,100
342347,built_up,2015-01-01,100
902858,built_up,2015-01-01,50
20230,closed_forest_deciduous_broad_leaf,2015-01-01,114
30614,closed_forest_deciduous_broad_leaf,2015-01-01,114
30618,closed_forest_deciduous_broad_leaf,2015-01-01,114
116297,closed_forest_deciduous_broad_leaf,2015-01-01,114
342347,closed_forest_deciduous_broad_leaf,2015-01-01,228
902858,closed_forest_deciduous_broad_leaf,2015-01-01,114
197,closed_forest_evergreen_broad_leaf,2015-01-01,224
227,closed_forest_evergreen_broad_leaf,2015-01-01,888
3305,closed_forest_evergreen_broad_leaf,2015-01-01,2834
3306,closed_forest_evergreen_broad_leaf,2015-01-01,784
3307,closed_forest_evergreen_broad_leaf,2015-01-01,808
3311,closed_forest_evergreen_broad_leaf,2015-01-01,538
3314,closed_forest_evergreen_broad_leaf,2015-01-01,224
12226,closed_forest_evergreen_broad_leaf,2015-01-01,3160
12229,closed_forest_evergreen_broad_leaf,2015-01-01,360
12241,closed_forest_evergreen_broad_leaf,2015-01-01,112
12570,closed_forest_evergreen_broad_leaf,2015-01-01,538
12572,closed_forest_evergreen_broad_leaf,2015-01-01,538
20224,closed_forest_evergreen_broad_leaf,2015-01-01,3410
20230,closed_forest_evergreen_broad_leaf,2015-01-01,1714
