wdpa_id,date,monthly_sum_frp_gw,monthly_fires
20224,2000-11-01,5.5,1
30614,2000-11-01,25,3
30618,2000-11-01,103.7,8
902858,2000-11-01,25,3
20224,2000-12-01,18.8,2
30618,2000-12-01,16.7,1
30614,2001-01-01,15.4,1
30618,2001-01-01,35.2,3
102910,2001-01-01,19.8,2
107569,2001-01-01,7.9,1
3305,2001-02-01,31.7,4
3306,2001-02-01,8,1
3311,2001-02-01,32.6,3
20224,2001-02-01,11.5,1
20230,2001-02-01,8,1
30605,2001-02-01,4.4,1
30614,2001-02-01,18.1,2
30618,2001-02-01,18.1,2
107569,2001-02-01,4.4,1
116297,2001-02-01,8,1
301932,2001-02-01,15.9,2
342347,2001-02-01,25.2,2
902858,2001-02-01,9.4,1
227,2001-03-01,343.1,8
3305,2001-03-01,72.2,5
3311,2001-03-01,81.5,2
12241,2001-03-01,81.5,2
12572,2001-03-01,113.1,5
20224,2001-03-01,39.5,5
28850,2001-03-01,81.5,2
30605,2001-03-01,227.8,17
30614,2001-03-01,14.9,1
30618,2001-03-01,819.8,36
102910,2001-03-01,165.8,8
107569,2001-03-01,202.4,12
115079,2001-03-01,88.1,4
116297,2001-03-01,3.9,1
301932,2001-03-01,31.7,2
302086,2001-03-01,36.8,2
342347,2001-03-01,14,2
902858,2001-03-01,800.6,17
197,2001-04-01,137.1,3
227,2001-04-01,467.1,17
3305,2001-04-01,2788.2,98
3306,2001-04-01,2188.7,70
3311,2001-04-01,93.6,4
3314,2001-04-01,315.8,11
12226,2001-04-01,34.9,2
12229,2001-04-01,20.2,1
12241,2001-04-01,45.5,2
12570,2001-04-01,542.2,21
12572,2001-04-01,224.3,14
20224,2001-04-01,787.9,25
20230,2001-04-01,2755.3,89
28850,2001-04-01,56.3,3
30605,2001-04-01,283.2,23
30606,2001-04-01,216.4,5
30614,2001-04-01,2041,53
30618,2001-04-01,8496.3,243
67670,2001-04-01,125,7
102910,2001-04-01,97.3,6
107569,2001-04-01,548.9,15
115079,2001-04-01,776.4,21
116297,2001-04-01,282.5,12
301932,2001-04-01,217.1,11
302086,2001-04-01,654.7,16
306780,2001-04-01,49.4,3
342347,2001-04-01,255,13
902858,2001-04-01,5676.5,121
197,2001-05-01,58.2,3
227,2001-05-01,931.5,37
3305,2001-05-01,328.3,10
3306,2001-05-01,32.4,2
3311,2001-05-01,39.1,3
3314,2001-05-01,119.4,8
12229,2001-05-01,12.3,1
12241,2001-05-01,23,2
12570,2001-05-01,193.9,11
12572,2001-05-01,179.6,10
20224,2001-05-01,146.5,11
20230,2001-05-01,324,11
28850,2001-05-01,23,2
30604,2001-05-01,86.3,2
30605,2001-05-01,3474.4,120
30606,2001-05-01,405.6,18
30614,2001-05-01,1100.1,49
30618,2001-05-01,6164.9,178
67670,2001-05-01,76.9,4
102910,2001-05-01,132.7,7
107569,2001-05-01,719.9,38
115079,2001-05-01,222.1,13
116297,2001-05-01,239,9
301932,2001-05-01,195.7,7
302086,2001-05-01,63.8,3
306780,2001-05-01,619.3,18
902858,2001-05-01,3254.5,124
20224,2001-06-01,24.9,2
20230,2001-06-01,20.7,1
30605,2001-06-01,23.9,2
30614,2001-06-01,41.4,2
30618,2001-06-01,30.6,2
107569,2001-06-01,8.2,1
902858,2001-06-01,20.7,1
3305,2001-07-01,20.7,3
12226,2001-07-01,4,1
20224,2001-07-01,28.1,2
30606,2001-07-01,52,1
220034,2001-07-01,27.7,2
301932,2001-07-01,6.9,1
342347,2001-07-01,12.1,1
902858,2001-07-01,151.1,4
227,2001-08-01,9.5,1
30605,2001-08-01,7,1
30618,2001-08-01,9.4,1
12226,2001-09-01,17.2,1
20224,2001-09-01,9.4,1
30605,2001-09-01,67.7,1
220034,2001-09-01,24.2,2
306780,2001-09-01,11.2,1
227,2001-10-01,19.3,1
30605,2001-10-01,82.8,1
30618,2001-10-01,26.5,2
102910,2001-10-01,16.1,1
902858,2001-10-01,19.3,1
30618,2001-11-01,13.5,1
20224,2001-12-01,15.1,2
3311,2002-01-01,33.9,3
12241,2002-01-01,33.9,3
12570,2002-01-01,6.5,1
20224,2002-01-01,63.3,7
28850,2002-01-01,33.9,3
30605,2002-01-01,60.8,2
30618,2002-01-01,6.5,1
107569,2002-01-01,60.8,2
115079,2002-01-01,6.5,1
220034,2002-01-01,41.1,3
12226,2002-02-01,7.8,1
20224,2002-02-01,8.8,1
30605,2002-02-01,20.2,3
227,2002-03-01,5.8,1
3311,2002-03-01,314.3,13
12226,2002-03-01,10.5,1
12241,2002-03-01,5,1
12570,2002-03-01,43.4,2
12572,2002-03-01,43.4,2
20224,2002-03-01,34.5,5
28850,2002-03-01,17.8,2
30605,2002-03-01,31.1,4
30618,2002-03-01,228.4,15
102910,2002-03-01,33.2,3
107569,2002-03-01,75.2,5
115079,2002-03-01,42.1,2
220034,2002-03-01,5.9,1
302086,2002-03-01,8.5,1
902858,2002-03-01,26.2,2
197,2002-04-01,524.9,11
227,2002-04-01,1813.8,63
3305,2002-04-01,261.7,8
3307,2002-04-01,234.4,6
3311,2002-04-01,879.1,33
3314,2002-04-01,132.1,5
12226,2002-04-01,30.9,3
12229,2002-04-01,23.1,2
12241,2002-04-01,410.8,10
12570,2002-04-01,1926.5,54
12572,2002-04-01,827.6,30
20224,2002-04-01,354.9,21
20230,2002-04-01,33.7,3
28850,2002-04-01,594.6,17
30604,2002-04-01,12.2,1
30605,2002-04-01,5837.1,143
30606,2002-04-01,989.1,7
30614,2002-04-01,288.7,16
30618,2002-04-01,8728.6,327
67670,2002-04-01,238,7
102910,2002-04-01,737.4,31
107569,2002-04-01,245.6,13
115079,2002-04-01,1650.5,42
116297,2002-04-01,51.5,3
301932,2002-04-01,261.7,8
302086,2002-04-01,533.9,18
306780,2002-04-01,1945.6,35
342347,2002-04-01,565.6,16
