wdpa_id,date,treecover_ha
197,2000-01-01,184681.221204557
227,2000-01-01,616161.26821486
3305,2000-01-01,227502.796550774
3306,2000-01-01,201182.882125314
3307,2000-01-01,169220.991915251
3311,2000-01-01,104782.899918411
3314,2000-01-01,217255.211476583
12226,2000-01-01,150232.206872025
12229,2000-01-01,157851.041072914
12241,2000-01-01,169737.267853099
12570,2000-01-01,38158.7164524974
12572,2000-01-01,49505.9583632912
20224,2000-01-01,278681.74303862
20230,2000-01-01,404711.073025506
28850,2000-01-01,96240.9621591048
30604,2000-01-01,392233.146435395
30605,2000-01-01,402239.091929421
30606,2000-01-01,142732.119526029
30614,2000-01-01,278844.882290533
30618,2000-01-01,866711.042198158
67670,2000-01-01,191223.344227291
102817,2000-01-01,143684.092834723
102910,2000-01-01,76328.5203672431
107569,2000-01-01,165039.546979077
115079,2000-01-01,50035.2201359092
116297,2000-01-01,108280.67686888
220034,2000-01-01,349633.131604747
301932,2000-01-01,72421.1216759048
302086,2000-01-01,34322.6245470907
306780,2000-01-01,691812.038781703
342347,2000-01-01,448311.502102431
902858,2000-01-01,811532.631197509
197,2001-01-01,184198.658538891
227,2001-01-01,613733.740781542
3305,2001-01-01,223476.688128081
3306,2001-01-01,200057.933962643
3307,2001-01-01,169014.274055987
3311,2001-01-01,104220.989352343
3314,2001-01-01,216005.38773481
12226,2001-01-01,149957.503391545
12229,2001-01-01,157766.488868515
12241,2001-01-01,169516.464053592
12570,2001-01-01,37523.7898699279
12572,2001-01-01,48819.4383340876
20224,2001-01-01,278044.655213127
20230,2001-01-01,402853.523083147
28850,2001-01-01,96065.9097189408
30604,2001-01-01,392068.559610315
30605,2001-01-01,398093.57690113
30606,2001-01-01,141896.526597623
30614,2001-01-01,275715.444169331
30618,2001-01-01,853454.256758581
67670,2001-01-01,190657.975102461
102817,2001-01-01,143683.065778452
102910,2001-01-01,75718.1694641846
107569,2001-01-01,164516.455480638
115079,2001-01-01,49141.383648004
116297,2001-01-01,106584.1980122
220034,2001-01-01,349472.538045953
301932,2001-01-01,70747.177363871
302086,2001-01-01,33860.3131668357
306780,2001-01-01,690371.907583547
342347,2001-01-01,447402.310182334
902858,2001-01-01,803829.534918402
197,2002-01-01,183604.158541643
227,2002-01-01,611895.988318506
3305,2002-01-01,219745.692043474
3306,2002-01-01,199791.286860857
3307,2002-01-01,168036.047333892
3311,2002-01-01,101996.253838455
3314,2002-01-01,214357.479019906
12226,2002-01-01,149445.793025479
12229,2002-01-01,157346.972532244
12241,2002-01-01,168992.325073817
12570,2002-01-01,36921.2476882331
12572,2002-01-01,48403.782980633
20224,2002-01-01,276302.42264412
20230,2002-01-01,401407.251652085
28850,2002-01-01,95233.9952160836
30604,2002-01-01,391842.679739153
30605,2002-01-01,396229.610570842
30606,2002-01-01,141463.186623151
30614,2002-01-01,270907.352875082
30618,2002-01-01,835830.448992585
