wdpa_id,landcover_class,date,landcover_area_ha
197,built_up,2015-01-01,50
227,built_up,2015-01-01,50
3305,built_up,2015-01-01,50
3314,built_up,2015-01-01,50
30605,built_up,2015-01-01,50
30614,built_up,2015-01-01,50
30618,built_up,2015-01-01,150
107569,built_up,2015-01-01,50
220034,built_up,2015-01-01,50
306780,built_up,2015-01-01,100
902858,built_up,2015-01-01,50
30614,closed_forest_deciduous_broad_leaf,2015-01-01,114
342347,closed_forest_deciduous_broad_leaf,2015-01-01,114
902858,closed_forest_deciduous_broad_leaf,2015-01-01,114
197,closed_forest_evergreen_broad_leaf,2015-01-01,112
227,closed_forest_evergreen_broad_leaf,2015-01-01,192
3305,closed_forest_evergreen_broad_leaf,2015-01-01,1826
3306,closed_forest_evergreen_broad_leaf,2015-01-01,112
3307,closed_forest_evergreen_broad_leaf,2015-01-01,472
3311,closed_forest_evergreen_broad_leaf,2015-01-01,224
3314,closed_forest_evergreen_broad_leaf,2015-01-01,112
12226,closed_forest_evergreen_broad_leaf,2015-01-01,112
12229,closed_forest_evergreen_broad_leaf,2015-01-01,112
12241,closed_forest_evergreen_broad_leaf,2015-01-01,112
12570,closed_forest_evergreen_broad_leaf,2015-01-01,314
12572,closed_forest_evergreen_broad_leaf,2015-01-01,112
20224,closed_forest_evergreen_broad_leaf,2015-01-01,224
20230,closed_forest_evergreen_broad_leaf,2015-01-01,112
28850,closed_forest_evergreen_broad_leaf,2015-01-01,112
30604,closed_forest_evergreen_broad_leaf,2015-01-01,112
30605,closed_forest_evergreen_broad_leaf,2015-01-01,560
30606,closed_forest_evergreen_broad_leaf,2015-01-01,112
30614,closed_forest_evergreen_broad_leaf,2015-01-01,336
30618,closed_forest_evergreen_broad_leaf,2015-01-01,3128
67670,closed_forest_evergreen_broad_leaf,2015-01-01,448
102817,closed_forest_evergreen_broad_leaf,2015-01-01,112
102910,closed_forest_evergreen_broad_leaf,2015-01-01,560
107569,closed_forest_evergreen_broad_leaf,2015-01-01,224
115079,closed_forest_evergreen_broad_leaf,2015-01-01,538
116297,closed_forest_evergreen_broad_leaf,2015-01-01,112
220034,closed_forest_evergreen_broad_leaf,2015-01-01,650
301932,closed_forest_evergreen_broad_leaf,2015-01-01,224
302086,closed_forest_evergreen_broad_leaf,2015-01-01,112
306780,closed_forest_evergreen_broad_leaf,2015-01-01,224
342347,closed_forest_evergreen_broad_leaf,2015-01-01,112
902858,closed_forest_evergreen_broad_leaf,2015-01-01,4628
227,closed_forest_mixed,2015-01-01,115
30605,closed_forest_mixed,2015-01-01,115
107569,closed_forest_mixed,2015-01-01,115
197,closed_forest_unknown,2015-01-01,116
227,closed_forest_unknown,2015-01-01,660
3305,closed_forest_unknown,2015-01-01,116
3306,closed_forest_unknown,2015-01-01,116
3307,closed_forest_unknown,2015-01-01,116
3311,closed_forest_unknown,2015-01-01,206
3314,closed_forest_unknown,2015-01-01,116
12226,closed_forest_unknown,2015-01-01,116
12229,closed_forest_unknown,2015-01-01,116
