wdpa_id,date,monthly_sum_frp_gw,monthly_fires
30618,2000-11-01,20.4,2
902858,2000-11-01,14,2
30618,2001-01-01,15.4,1
3305,2001-02-01,8,1
30618,2001-02-01,18.1,2
227,2001-03-01,10.2,1
30605,2001-03-01,25,1
30618,2001-03-01,218.7,11
107569,2001-03-01,121.9,7
342347,2001-03-01,8.7,1
902858,2001-03-01,363,9
227,2001-04-01,43,4
3305,2001-04-01,2215.5,73
3306,2001-04-01,30.6,2
3311,2001-04-01,45.5,2
3314,2001-04-01,7.8,1
12570,2001-04-01,9.7,1
12572,2001-04-01,100.2,5
20224,2001-04-01,59,3
20230,2001-04-01,17,1
30605,2001-04-01,39.9,2
30606,2001-04-01,100.1,3
30614,2001-04-01,152.8,7
30618,2001-04-01,1638.7,60
107569,2001-04-01,10.9,1
302086,2001-04-01,41.9,1
342347,2001-04-01,89.7,4
902858,2001-04-01,4343.7,84
227,2001-05-01,183,9
3311,2001-05-01,23,2
12572,2001-05-01,125.1,6
20230,2001-05-01,11.2,1
30605,2001-05-01,654.7,31
30614,2001-05-01,134.3,5
30618,2001-05-01,1222.7,52
102910,2001-05-01,51,2
107569,2001-05-01,57.1,5
306780,2001-05-01,151.1,5
902858,2001-05-01,1898.6,75
30618,2001-06-01,20.7,1
902858,2001-06-01,20.7,1
220034,2001-07-01,15.8,1
902858,2001-07-01,99.1,3
220034,2001-09-01,14.2,1
30605,2001-10-01,82.8,1
902858,2001-10-01,19.3,1
30618,2001-11-01,13.5,1
3311,2002-01-01,33.9,3
30605,2002-01-01,60.8,2
30618,2002-01-01,6.5,1
220034,2002-01-01,41.1,3
3311,2002-03-01,219,9
30605,2002-03-01,6.3,1
30618,2002-03-01,96.6,5
220034,2002-03-01,5.9,1
902858,2002-03-01,26.2,2
227,2002-04-01,265.1,12
3311,2002-04-01,501.2,16
12226,2002-04-01,10,1
12572,2002-04-01,7.7,1
30605,2002-04-01,1122.3,26
30614,2002-04-01,7.4,1
30618,2002-04-01,4053.6,140
102910,2002-04-01,36.8,3
107569,2002-04-01,28.3,2
115079,2002-04-01,62.4,1
306780,2002-04-01,84.4,5
342347,2002-04-01,9.7,1
902858,2002-04-01,1965,71
227,2002-05-01,297.3,18
3305,2002-05-01,1352.4,27
3314,2002-05-01,17.1,1
12570,2002-05-01,27.1,2
12572,2002-05-01,46.7,1
20224,2002-05-01,115.7,5
20230,2002-05-01,89.2,3
30605,2002-05-01,747.8,56
30606,2002-05-01,43,3
30614,2002-05-01,623.2,20
30618,2002-05-01,6357.3,223
67670,2002-05-01,136.4,2
107569,2002-05-01,90.1,6
306780,2002-05-01,163.5,3
902858,2002-05-01,6287,166
20224,2002-06-01,299.1,5
30618,2002-06-01,85.7,1
902858,2002-06-01,188.9,4
3305,2002-07-01,7,1
107569,2002-07-01,9.9,1
3311,2002-08-01,8.8,1
30618,2002-08-01,10.4,1
902858,2002-08-01,12.8,1
3305,2002-09-01,74,2
30605,2002-09-01,4.8,1
902858,2002-09-01,157.3,9
3305,2002-10-01,142.7,6
30605,2002-10-01,35.9,5
30614,2002-10-01,42.9,3
30618,2002-10-01,132.8,10
902858,2002-10-01,153.1,9
227,2002-11-01,6.5,1
3305,2002-11-01,267.2,10
30605,2002-11-01,94.7,7
30614,2002-11-01,26.5,3
30618,2002-11-01,360.5,18
902858,2002-11-01,110.1,7
12572,2002-12-01,5.4,1
30618,2002-12-01,277.2,16
902858,2002-12-01,22.6,2
30618,2003-01-01,9.9,1
107569,2003-01-01,7.5,1
30605,2003-02-01,323.5,6
30614,2003-02-01,6.9,1
30618,2003-02-01,87.8,4
107569,2003-02-01,66.8,5
220034,2003-02-01,75.2,1
342347,2003-02-01,53.9,3
902858,2003-02-01,39.3,4
227,2003-03-01,190.6,6
3311,2003-03-01,83.2,3
3314,2003-03-01,12.6,1
30605,2003-03-01,30874.1,568
30606,2003-03-01,1520.1,28
30614,2003-03-01,297.1,12
30618,2003-03-01,14894.2,297
102910,2003-03-01,1450,23
107569,2003-03-01,135.6,10
115079,2003-03-01,409.6,2
342347,2003-03-01,14.5,1
902858,2003-03-01,3361.9,107
227,2003-04-01,806.8,28
3305,2003-04-01,261.2,5
3307,2003-04-01,50.4,2
3311,2003-04-01,425.4,14
3314,2003-04-01,127.5,3
12226,2003-04-01,42.9,3
12572,2003-04-01,12.4,1
20224,2003-04-01,393.3,11
20230,2003-04-01,500.6,12
30605,2003-04-01,20552.2,643
30606,2003-04-01,191.8,10
30614,2003-04-01,2893.4,79
30618,2003-04-01,22750.5,540
67670,2003-04-01,19.8,1
102910,2003-04-01,1449.8,36
107569,2003-04-01,656.8,27
115079,2003-04-01,64.2,2
116297,2003-04-01,204.3,6
220034,2003-04-01,99.7,7
306780,2003-04-01,1247.5,30
342347,2003-04-01,552.7,24
902858,2003-04-01,33942.3,591
227,2003-05-01,7084.6,201
3305,2003-05-01,1753.9,39
3307,2003-05-01,151.4,5
3311,2003-05-01,985.1,31
3314,2003-05-01,394.8,26
12570,2003-05-01,367.3,12
12572,2003-05-01,19.6,1
20224,2003-05-01,400,10
20230,2003-05-01,94.2,5
30604,2003-05-01,19,1
30605,2003-05-01,5171.6,276
30606,2003-05-01,18.2,3
30614,2003-05-01,2602.2,83
30618,2003-05-01,15349.2,470
67670,2003-05-01,577.7,15
102910,2003-05-01,588.3,17
107569,2003-05-01,935.6,55
115079,2003-05-01,31.1,1
116297,2003-05-01,143.9,3
220034,2003-05-01,74.6,2
306780,2003-05-01,500.3,14
342347,2003-05-01,524.8,21
902858,2003-05-01,17111.9,437
227,2003-06-01,7.8,1
3311,2003-06-01,43.1,3
20224,2003-06-01,9.7,1
30604,2003-06-01,8,1
30614,2003-06-01,74,4
30618,2003-06-01,560.1,26
102910,2003-06-01,14.7,1
107569,2003-06-01,128.5,5
220034,2003-06-01,243.5,13
306780,2003-06-01,13.8,1
902858,2003-06-01,579.6,31
220034,2003-07-01,147,9
306780,2003-07-01,31.5,1
220034,2003-08-01,7.1,1
902858,2003-08-01,17.3,2
30605,2003-09-01,21.1,2
30618,2003-09-01,24.1,2
220034,2003-09-01,179.6,6
902858,2003-09-01,281.7,8
3305,2003-10-01,5.2,1
30605,2003-10-01,12.8,2
30614,2003-10-01,10.5,1
30618,2003-10-01,248.3,15
902858,2003-10-01,113.3,9
30605,2003-11-01,83.7,3
30618,2003-11-01,112.6,9
107569,2003-11-01,7.5,1
902858,2003-11-01,37.8,3
20224,2003-12-01,8.1,1
30605,2003-12-01,9.3,2
30618,2003-12-01,822.7,22
902858,2003-12-01,18.4,1
30618,2004-01-01,9.7,1
30605,2004-02-01,34,2
30618,2004-02-01,43.5,5
102910,2004-02-01,27.7,2
902858,2004-02-01,64.1,7
12572,2004-03-01,7,1
30605,2004-03-01,110.3,4
30618,2004-03-01,840.5,32
67670,2004-03-01,26.4,1
107569,2004-03-01,127.9,5
115079,2004-03-01,32.5,1
342347,2004-03-01,60.7,3
902858,2004-03-01,106.6,8
227,2004-04-01,1109,33
3307,2004-04-01,26.3,2
3311,2004-04-01,11.2,1
12570,2004-04-01,433.8,9
12572,2004-04-01,41.7,2
20224,2004-04-01,19.6,1
30604,2004-04-01,14,1
30605,2004-04-01,2217.9,77
30606,2004-04-01,268.6,4
30614,2004-04-01,431.4,9
30618,2004-04-01,10039.1,230
102910,2004-04-01,53.2,2
107569,2004-04-01,314.4,13
220034,2004-04-01,492.8,15
302086,2004-04-01,63.7,1
306780,2004-04-01,801.5,12
342347,2004-04-01,1343.1,11
902858,2004-04-01,5472.7,112
227,2004-05-01,199,4
3307,2004-05-01,33.3,3
28850,2004-05-01,21.9,1
30605,2004-05-01,250.5,8
30606,2004-05-01,51.1,3
30614,2004-05-01,227,9
30618,2004-05-01,5684.7,144
67670,2004-05-01,6.4,1
102910,2004-05-01,247.5,9
107569,2004-05-01,248.5,10
220034,2004-05-01,227.7,10
306780,2004-05-01,562.5,14
342347,2004-05-01,64.7,2
902858,2004-05-01,8408.9,210
30614,2004-06-01,5.4,1
30618,2004-06-01,202.1,9
107569,2004-06-01,16.9,1
902858,2004-06-01,242.5,13
30605,2004-07-01,9.6,1
30614,2004-07-01,26.8,1
30618,2004-07-01,26.2,2
107569,2004-07-01,94.8,2
902858,2004-07-01,174.2,7
20224,2004-08-01,378.4,2
30605,2004-08-01,34.3,2
30618,2004-08-01,12,1
102910,2004-08-01,34,2
107569,2004-08-01,93.1,4
220034,2004-08-01,22.1,1
902858,2004-08-01,303.6,7
3311,2004-09-01,24,2
30605,2004-09-01,38.3,3
30618,2004-09-01,38.6,4
107569,2004-09-01,19.1,1
220034,2004-09-01,64.2,4
902858,2004-09-01,281.3,16
227,2004-10-01,7.5,1
30605,2004-10-01,33.5,5
30614,2004-10-01,14.1,2
30618,2004-10-01,185.2,19
102910,2004-10-01,5.7,1
220034,2004-10-01,44.5,3
902858,2004-10-01,123.6,12
30605,2004-11-01,90.2,6
30618,2004-11-01,855.3,30
902858,2004-11-01,36.1,5
30618,2004-12-01,259.5,14
902858,2004-12-01,8.5,1
3311,2005-01-01,89.2,6
20224,2005-01-01,5.8,1
30605,2005-01-01,132.7,4
107569,2005-01-01,3.8,1
902858,2005-01-01,35.4,4
20224,2005-02-01,62.8,3
30605,2005-02-01,390.8,21
30614,2005-02-01,12.1,1
30618,2005-02-01,283.6,17
102910,2005-02-01,81.4,7
107569,2005-02-01,5.1,1
902858,2005-02-01,411.5,22
227,2005-03-01,132.9,7
3305,2005-03-01,2345.8,52
3307,2005-03-01,36.3,2
3314,2005-03-01,23.9,2
20224,2005-03-01,558.4,18
30605,2005-03-01,8348.4,209
30606,2005-03-01,18.7,2
30614,2005-03-01,538.9,22
30618,2005-03-01,25378.5,500
102910,2005-03-01,994.7,13
107569,2005-03-01,219.5,6
115079,2005-03-01,18,1
306780,2005-03-01,114.1,4
342347,2005-03-01,285,7
902858,2005-03-01,6570.3,147
227,2005-04-01,2196,65
3305,2005-04-01,576.6,15
3306,2005-04-01,41.6,1
3307,2005-04-01,285,9
3311,2005-04-01,636.1,27
3314,2005-04-01,181.7,10
12226,2005-04-01,248.2,6
12570,2005-04-01,177.3,2
12572,2005-04-01,73.8,5
20224,2005-04-01,222.2,4
20230,2005-04-01,153.1,7
30605,2005-04-01,17688.6,697
30606,2005-04-01,126,8
30614,2005-04-01,6322.2,165
30618,2005-04-01,44354,939
67670,2005-04-01,674.4,26
102910,2005-04-01,4846.1,72
107569,2005-04-01,135.5,7
116297,2005-04-01,257.2,12
302086,2005-04-01,159.2,5
306780,2005-04-01,1142.5,33
342347,2005-04-01,430.1,11
902858,2005-04-01,41248.4,785
227,2005-05-01,4348.6,146
3305,2005-05-01,85.2,4
3311,2005-05-01,659.6,8
3314,2005-05-01,443.3,29
12226,2005-05-01,55.6,1
12570,2005-05-01,73.9,2
12572,2005-05-01,16,1
20224,2005-05-01,134.7,6
20230,2005-05-01,178.6,4
28850,2005-05-01,57.1,1
30605,2005-05-01,2562.4,94
30606,2005-05-01,186.1,7
30614,2005-05-01,450.3,22
30618,2005-05-01,3081.2,122
67670,2005-05-01,286,6
102910,2005-05-01,283.6,7
107569,2005-05-01,704.6,24
116297,2005-05-01,86.6,2
342347,2005-05-01,136.9,2
902858,2005-05-01,5237.1,139
3305,2005-06-01,81.6,4
3306,2005-06-01,132.5,3
12226,2005-06-01,11,1
12572,2005-06-01,46.3,3
20224,2005-06-01,141.5,5
30605,2005-06-01,121.9,6
30614,2005-06-01,57.2,4
30618,2005-06-01,1167.7,42
67670,2005-06-01,541.6,8
102910,2005-06-01,33,2
107569,2005-06-01,193.6,10
902858,2005-06-01,441,20
3305,2005-07-01,141.1,11
3306,2005-07-01,55.5,4
30618,2005-07-01,74.4,5
220034,2005-07-01,31.8,1
902858,2005-07-01,115.9,9
20224,2005-08-01,22.6,1
220034,2005-08-01,9,1
3311,2005-09-01,26.5,1
30605,2005-09-01,10.8,1
902858,2005-09-01,12,1
227,2005-10-01,5.4,1
30605,2005-10-01,7.3,1
30618,2005-10-01,92.9,7
902858,2005-10-01,112.7,5
227,2005-11-01,7.5,1
3307,2005-11-01,5.3,1
30605,2005-11-01,17.9,2
30614,2005-11-01,15.2,1
30618,2005-11-01,433.6,22
902858,2005-11-01,45.3,4
30605,2005-12-01,21.4,2
30618,2005-12-01,26.8,2
3311,2006-01-01,13.2,1
902858,2006-01-01,21.5,3
3305,2006-02-01,49,2
30614,2006-02-01,12.9,2
30618,2006-02-01,40.3,2
902858,2006-02-01,87.2,6
227,2006-03-01,33.2,2
3305,2006-03-01,125.4,3
12226,2006-03-01,15.8,1
30605,2006-03-01,252.3,10
30606,2006-03-01,140.5,2
30614,2006-03-01,306.9,14
30618,2006-03-01,795.8,40
67670,2006-03-01,18,1
107569,2006-03-01,86.4,4
302086,2006-03-01,8.6,1
342347,2006-03-01,48,2
902858,2006-03-01,1104.1,47
227,2006-04-01,1352.4,26
3307,2006-04-01,26.7,1
3311,2006-04-01,18.9,2
3314,2006-04-01,25.4,1
12570,2006-04-01,79.5,3
12572,2006-04-01,219.1,7
20224,2006-04-01,124.4,3
28850,2006-04-01,20,1
30604,2006-04-01,7.4,1
30605,2006-04-01,2934.5,111
30606,2006-04-01,101.5,6
30614,2006-04-01,1111.1,46
30618,2006-04-01,13038.8,300
67670,2006-04-01,20,1
102910,2006-04-01,1186.3,10
107569,2006-04-01,60,3
115079,2006-04-01,150.1,2
116297,2006-04-01,91.6,3
220034,2006-04-01,37,2
302086,2006-04-01,44.6,2
306780,2006-04-01,203.1,8
342347,2006-04-01,234.9,12
902858,2006-04-01,14857.3,313
227,2006-05-01,390.9,22
3305,2006-05-01,164.8,9
