wdpa_id,date,treecover_ha
197,2000-01-01,57577.008867735
227,2000-01-01,320774.375654545
3305,2000-01-01,40303.477662643
3306,2000-01-01,60014.1519532443
3307,2000-01-01,38927.5804819513
3311,2000-01-01,20565.2458009351
3314,2000-01-01,60192.1105124685
12226,2000-01-01,34681.2422383434
12229,2000-01-01,37465.9050646922
12241,2000-01-01,40669.2947887091
12570,2000-01-01,1573.64410934053
12572,2000-01-01,2974.99818018711
20224,2000-01-01,93349.2100958417
20230,2000-01-01,107242.338949147
28850,2000-01-01,16935.727749304
30604,2000-01-01,119458.913163927
30605,2000-01-01,179781.798052318
30606,2000-01-01,35331.0760827963
30614,2000-01-01,59186.561542333
30618,2000-01-01,246197.93547346
67670,2000-01-01,61106.8186798491
102817,2000-01-01,30321.779509227
102910,2000-01-01,14415.2330909522
107569,2000-01-01,38557.3575441857
115079,2000-01-01,3233.83785717095
116297,2000-01-01,16198.9213766077
220034,2000-01-01,157750.968440578
301932,2000-01-01,5109.26554080057
302086,2000-01-01,1438.94070944596
306780,2000-01-01,247636.111775837
342347,2000-01-01,128619.554907487
902858,2000-01-01,430347.292976098
197,2001-01-01,57576.861784374
227,2001-01-01,320107.503728165
3305,2001-01-01,38458.084129412
3306,2001-01-01,60013.6356424666
3307,2001-01-01,38902.5533367282
3311,2001-01-01,20465.8064436645
3314,2001-01-01,60021.7852268777
12226,2001-01-01,34672.5583362148
12229,2001-01-01,37465.3893445748
12241,2001-01-01,40659.9152940184
12570,2001-01-01,1487.64573942905
12572,2001-01-01,2965.17384693712
20224,2001-01-01,93335.9384103925
20230,2001-01-01,107225.955398309
28850,2001-01-01,16933.0699536048
30604,2001-01-01,119457.885908825
30605,2001-01-01,178799.503950398
30606,2001-01-01,35302.1564998484
30614,2001-01-01,58697.1390420876
30618,2001-01-01,242116.501451505
67670,2001-01-01,61045.2516285782
102817,2001-01-01,30321.5594407672
102910,2001-01-01,14399.8076100275
107569,2001-01-01,38454.843748599
115079,2001-01-01,3216.18365039322
116297,2001-01-01,16192.7332687361
220034,2001-01-01,157746.968646391
301932,2001-01-01,5050.94992619226
302086,2001-01-01,1437.9070201223
306780,2001-01-01,247436.211267607
342347,2001-01-01,128522.910596628
902858,2001-01-01,425847.954237062
197,2002-01-01,57575.7581377629
227,2002-01-01,319739.872980847
3305,2002-01-01,37476.9236012226
3306,2002-01-01,60010.4633343281
3307,2002-01-01,38797.7435404263
3311,2002-01-01,19851.7538531051
3314,2002-01-01,59659.0112939934
12226,2002-01-01,34651.2894097751
12229,2002-01-01,37464.0633154325
12241,2002-01-01,40632.0001285889
12570,2002-01-01,1462.8196547514
12572,2002-01-01,2954.90632103856
20224,2002-01-01,93327.7884117876
20230,2002-01-01,107199.684839515
28850,2002-01-01,16920.2245370134
30604,2002-01-01,119454.510869091
30605,2002-01-01,178265.522084184
30606,2002-01-01,35281.7746287217
30614,2002-01-01,57885.7806843632
30618,2002-01-01,235060.720805849
67670,2002-01-01,61009.3723580019
102817,2002-01-01,30321.4860832284
102910,2002-01-01,14371.5409897434
107569,2002-01-01,38292.5551381462
115079,2002-01-01,3195.42639924352
116297,2002-01-01,16154.7959529309
220034,2002-01-01,157705.827122011
301932,2002-01-01,4967.37976306502
302086,2002-01-01,1437.83318099731
306780,2002-01-01,247259.938072959
342347,2002-01-01,128430.269152149
